Customer ID,Stock Ticker,Number of Shares,Purchase Price,Purchase Date,Current Price,Current Value
CID000043,UNH,12,263.12,2020-10-05,516.0399780273438,6192.479736328125
CID000043,META,30,254.79,2024-11-18,576.739990234375,17302.19970703125
CID000043,NVDA,84,192.45,2025-03-09,109.66999816894531,9212.279846191406
CID000044,AMZN,65,245.49,2024-03-13,192.72000122070312,12526.800079345703
CID000044,META,44,366.39,2024-02-27,576.739990234375,25376.5595703125
CID000044,AAPL,35,274.44,2020-06-26,217.89999389648438,7626.499786376953
CID000044,UNH,40,405.49,2023-02-06,516.0399780273438,20641.59912109375
CID000045,GOOGL,79,409.13,2020-08-06,154.3300018310547,12192.07014465332
CID000045,NVDA,52,105.5,2020-06-23,109.66999816894531,5702.839904785156
CID000045,TSLA,24,263.88,2023-02-17,263.54998779296875,6325.19970703125
CID000046,META,11,64.01,2024-02-08,576.739990234375,6344.139892578125
CID000046,AAPL,21,306.32,2024-08-24,217.89999389648438,4575.899871826172
CID000046,TSLA,82,79.07,2023-02-14,263.54998779296875,21611.098999023438
CID000046,MSFT,52,287.21,2020-04-23,378.79998779296875,19697.599365234375
CID000046,AMZN,52,84.34,2023-12-09,192.72000122070312,10021.440063476562
CID000047,GOOGL,73,127.54,2023-09-29,154.3300018310547,11266.090133666992
CID000047,TSLA,82,111.06,2025-02-04,263.54998779296875,21611.098999023438
CID000047,V,12,401.33,2021-09-10,342.8500061035156,4114.2000732421875
CID000048,META,57,223.59,2021-09-19,576.739990234375,32874.179443359375
CID000049,META,8,199.86,2021-01-13,576.739990234375,4613.919921875
CID000049,V,73,158.51,2020-10-13,342.8500061035156,25028.05044555664
CID000049,JPM,33,131.58,2023-03-10,242.85000610351562,8014.050201416016
CID000049,UNH,16,390.94,2025-01-25,516.0399780273438,8256.6396484375
CID000050,V,60,285.07,2021-01-22,342.8500061035156,20571.000366210938
CID000050,GOOGL,52,452.15,2024-09-08,154.3300018310547,8025.160095214844
CID000050,TSLA,30,79.94,2020-06-24,263.54998779296875,7906.4996337890625
CID000051,GOOGL,67,345.74,2024-09-13,154.3300018310547,10340.110122680664
CID000051,JPM,9,429.4,2022-01-18,242.85000610351562,2185.6500549316406
CID000051,NVDA,85,460.76,2020-07-11,109.66999816894531,9321.949844360352
CID000051,TSLA,74,54.46,2024-08-31,263.54998779296875,19502.699096679688
CID000052,NVDA,34,413.75,2022-01-14,109.66999816894531,3728.7799377441406
CID000052,GOOGL,3,428.9,2021-02-20,154.3300018310547,462.99000549316406
CID000052,TSLA,51,293.86,2021-08-24,263.54998779296875,13441.049377441406
CID000052,V,40,179.12,2020-09-25,342.8500061035156,13714.000244140625
CID000052,AMZN,88,428.27,2020-06-02,192.72000122070312,16959.360107421875
CID000053,GOOGL,51,147.15,2021-08-19,154.3300018310547,7870.830093383789
CID000054,JPM,91,387.5,2023-08-06,242.85000610351562,22099.350555419922
CID000054,UNH,22,495.9,2024-10-07,516.0399780273438,11352.879516601562
CID000054,AMZN,60,451.13,2020-08-16,192.72000122070312,11563.200073242188
CID000054,AAPL,99,233.29,2020-08-04,217.89999389648438,21572.099395751953
CID000055,MSFT,79,293.76,2022-07-11,378.79998779296875,29925.19903564453
CID000055,AAPL,33,115.24,2023-02-19,217.89999389648438,7190.699798583984
CID000055,GOOGL,74,321.7,2022-11-28,154.3300018310547,11420.420135498047
CID000055,JPM,98,494.56,2021-04-05,242.85000610351562,23799.30059814453
CID000055,V,58,162.77,2023-07-10,342.8500061035156,19885.300354003906
CID000056,MSFT,1,498.35,2024-10-01,378.79998779296875,378.79998779296875
CID000057,AAPL,67,287.72,2022-02-11,217.89999389648438,14599.299591064453
CID000057,MSFT,45,280.07,2024-04-14,378.79998779296875,17045.999450683594
CID000057,AMZN,3,87.77,2023-03-14,192.72000122070312,578.1600036621094
CID000058,META,25,191.17,2024-05-07,576.739990234375,14418.499755859375
CID000058,AAPL,49,167.05,2022-05-17,217.89999389648438,10677.099700927734
CID000059,AMZN,45,154.09,2024-04-29,192.72000122070312,8672.40005493164
CID000059,META,51,427.44,2023-09-04,576.739990234375,29413.739501953125
CID000059,MSFT,94,408.21,2022-09-06,378.79998779296875,35607.19885253906
CID000059,TSLA,31,393.71,2022-08-08,263.54998779296875,8170.049621582031
CID000059,NVDA,6,461.94,2021-01-10,109.66999816894531,658.0199890136719
CID000060,META,59,158.85,2021-11-17,576.739990234375,34027.659423828125
CID000060,V,26,79.95,2022-12-04,342.8500061035156,8914.100158691406
CID000060,TSLA,52,375.04,2021-09-14,263.54998779296875,13704.599365234375
CID000060,UNH,15,439.61,2024-11-13,516.0399780273438,7740.599670410156
CID000061,MSFT,95,432.82,2023-12-19,378.79998779296875,35985.99884033203
CID000061,V,25,72.93,2022-08-31,342.8500061035156,8571.25015258789
CID000061,NVDA,6,234.03,2021-06-18,109.66999816894531,658.0199890136719
CID000062,MSFT,26,199.69,2023-04-14,378.79998779296875,9848.799682617188
CID000062,UNH,95,73.49,2022-03-02,516.0399780273438,49023.797912597656
CID000062,JPM,50,429.28,2024-01-20,242.85000610351562,12142.500305175781
CID000062,GOOGL,21,330.43,2024-10-21,154.3300018310547,3240.9300384521484
CID000062,AAPL,88,190.39,2021-09-29,217.89999389648438,19175.199462890625
CID000063,TSLA,51,120.11,2024-06-18,263.54998779296875,13441.049377441406
CID000063,UNH,79,484.0,2022-08-20,516.0399780273438,40767.158264160156
CID000063,META,29,169.2,2023-06-11,576.739990234375,16725.459716796875
CID000063,GOOGL,77,499.2,2022-07-17,154.3300018310547,11883.410140991211
CID000063,AAPL,64,185.47,2020-07-31,217.89999389648438,13945.599609375
CID000064,MSFT,82,454.55,2022-09-21,378.79998779296875,31061.598999023438
CID000064,META,33,93.93,2022-03-11,576.739990234375,19032.419677734375
CID000064,NVDA,45,392.49,2021-12-24,109.66999816894531,4935.149917602539
CID000064,UNH,89,306.73,2021-03-18,516.0399780273438,45927.558044433594
CID000064,GOOGL,97,339.71,2023-04-17,154.3300018310547,14970.010177612305
CID000065,GOOGL,13,181.75,2021-02-28,154.3300018310547,2006.290023803711
CID000066,V,41,493.34,2021-09-04,342.8500061035156,14056.85025024414
CID000066,JPM,7,54.49,2021-11-25,242.85000610351562,1699.9500427246094
CID000066,AAPL,48,324.21,2024-01-03,217.89999389648438,10459.19970703125
CID000066,TSLA,92,442.83,2024-03-05,263.54998779296875,24246.598876953125
CID000066,META,12,431.54,2023-11-12,576.739990234375,6920.8798828125
CID000067,GOOGL,97,283.89,2022-09-06,154.3300018310547,14970.010177612305
CID000067,AMZN,99,154.82,2022-05-03,192.72000122070312,19079.28012084961
CID000067,MSFT,72,457.38,2020-10-14,378.79998779296875,27273.59912109375
CID000068,META,64,322.0,2023-06-14,576.739990234375,36911.359375
CID000069,META,85,266.98,2024-04-16,576.739990234375,49022.899169921875
CID000069,V,37,163.36,2024-07-10,342.8500061035156,12685.450225830078
CID000069,MSFT,5,360.89,2020-10-15,378.79998779296875,1893.9999389648438
CID000070,JPM,79,385.99,2020-07-04,242.85000610351562,19185.150482177734
CID000070,AAPL,35,294.23,2023-05-07,217.89999389648438,7626.499786376953
CID000070,AMZN,26,277.63,2023-03-09,192.72000122070312,5010.720031738281
CID000070,META,3,250.22,2024-02-14,576.739990234375,1730.219970703125
CID000071,NVDA,70,451.45,2020-12-15,109.66999816894531,7676.899871826172
CID000071,V,79,459.17,2023-11-13,342.8500061035156,27085.150482177734
CID000072,JPM,16,438.27,2023-03-31,242.85000610351562,3885.60009765625
CID000072,AAPL,35,366.99,2020-11-08,217.89999389648438,7626.499786376953
CID000073,AAPL,12,148.99,2022-02-05,217.89999389648438,2614.7999267578125
CID000073,MSFT,30,277.91,2022-06-25,378.79998779296875,11363.999633789062
CID000073,V,31,194.07,2022-05-03,342.8500061035156,10628.350189208984
CID000073,UNH,30,417.66,2021-02-02,516.0399780273438,15481.199340820312
CID000073,META,24,330.27,2020-06-03,576.739990234375,13841.759765625
CID000074,JPM,12,141.04,2025-01-08,242.85000610351562,2914.2000732421875
CID000074,META,91,64.33,2024-02-21,576.739990234375,52483.339111328125
CID000074,UNH,15,172.69,2021-01-25,516.0399780273438,7740.599670410156
CID000074,AMZN,24,73.72,2023-09-17,192.72000122070312,4625.280029296875
CID000074,AAPL,70,397.66,2022-01-25,217.89999389648438,15252.999572753906
CID000075,MSFT,82,156.1,2020-12-18,378.79998779296875,31061.598999023438
CID000075,AAPL,11,393.72,2023-12-19,217.89999389648438,2396.899932861328
CID000075,AMZN,9,214.6,2022-03-07,192.72000122070312,1734.4800109863281
CID000076,UNH,35,456.38,2023-05-27,516.0399780273438,18061.39923095703
CID000076,V,50,386.64,2023-08-08,342.8500061035156,17142.50030517578
CID000077,JPM,90,388.5,2024-03-10,242.85000610351562,21856.500549316406
CID000078,GOOGL,54,300.63,2023-03-05,154.3300018310547,8333.820098876953
CID000079,TSLA,58,411.48,2024-12-26,263.54998779296875,15285.899291992188
CID000079,GOOGL,42,478.51,2022-04-25,154.3300018310547,6481.860076904297
CID000079,MSFT,17,280.14,2024-07-10,378.79998779296875,6439.599792480469
CID000080,UNH,70,119.17,2024-04-06,516.0399780273438,36122.79846191406
CID000080,MSFT,40,217.11,2021-03-24,378.79998779296875,15151.99951171875
CID000081,META,33,308.34,2021-02-27,576.739990234375,19032.419677734375
CID000081,GOOGL,24,91.51,2023-05-26,154.3300018310547,3703.9200439453125
CID000081,AAPL,100,289.12,2023-02-25,217.89999389648438,21789.999389648438
CID000081,AMZN,16,490.67,2024-01-04,192.72000122070312,3083.52001953125
CID000081,TSLA,42,141.71,2020-10-22,263.54998779296875,11069.099487304688
CID000082,META,27,60.26,2024-07-27,576.739990234375,15571.979736328125
CID000082,GOOGL,87,283.82,2022-02-04,154.3300018310547,13426.710159301758
CID000082,MSFT,15,423.46,2022-02-14,378.79998779296875,5681.999816894531
CID000083,UNH,8,434.81,2023-05-22,516.0399780273438,4128.31982421875
CID000083,AMZN,88,282.43,2021-02-01,192.72000122070312,16959.360107421875
CID000084,AMZN,39,373.74,2023-09-13,192.72000122070312,7516.080047607422
CID000084,META,75,438.29,2023-02-20,576.739990234375,43255.499267578125
CID000085,V,90,65.44,2024-05-16,342.8500061035156,30856.500549316406
CID000085,AMZN,85,466.58,2023-07-19,192.72000122070312,16381.200103759766
CID000085,META,7,328.27,2022-03-31,576.739990234375,4037.179931640625
CID000085,AAPL,69,322.09,2024-11-27,217.89999389648438,15035.099578857422
CID000086,NVDA,3,226.63,2020-12-14,109.66999816894531,329.00999450683594
CID000086,GOOGL,97,454.11,2021-09-08,154.3300018310547,14970.010177612305
CID000086,TSLA,41,156.62,2022-02-28,263.54998779296875,10805.549499511719
CID000086,UNH,87,339.47,2024-04-08,516.0399780273438,44895.478088378906
CID000087,NVDA,13,300.14,2024-02-05,109.66999816894531,1425.709976196289
CID000087,TSLA,6,244.34,2020-09-19,263.54998779296875,1581.2999267578125
CID000087,UNH,53,231.99,2022-11-17,516.0399780273438,27350.11883544922
CID000088,META,88,453.18,2021-10-20,576.739990234375,50753.119140625
CID000089,NVDA,47,376.68,2021-02-12,109.66999816894531,5154.48991394043
CID000089,GOOGL,61,454.76,2022-01-07,154.3300018310547,9414.130111694336
CID000090,GOOGL,24,211.16,2021-08-27,154.3300018310547,3703.9200439453125
CID000091,NVDA,10,308.53,2024-01-13,109.66999816894531,1096.6999816894531
CID000092,AAPL,16,144.78,2021-05-21,217.89999389648438,3486.39990234375
CID000093,UNH,81,383.12,2023-05-21,516.0399780273438,41799.238220214844
CID000093,TSLA,55,327.98,2024-03-10,263.54998779296875,14495.249328613281
CID000093,META,92,170.26,2022-02-10,576.739990234375,53060.0791015625
CID000093,NVDA,43,150.63,2021-05-02,109.66999816894531,4715.809921264648
CID000093,AMZN,59,396.62,2020-06-30,192.72000122070312,11370.480072021484
CID000094,V,61,351.22,2022-05-21,342.8500061035156,20913.850372314453
CID000094,UNH,44,312.54,2022-05-12,516.0399780273438,22705.759033203125
CID000095,UNH,31,349.63,2021-09-28,516.0399780273438,15997.239318847656
CID000095,TSLA,82,444.34,2023-09-02,263.54998779296875,21611.098999023438
CID000096,AAPL,87,123.19,2022-07-07,217.89999389648438,18957.29946899414
CID000096,GOOGL,77,299.27,2023-02-02,154.3300018310547,11883.410140991211
CID000096,META,4,163.01,2020-04-10,576.739990234375,2306.9599609375
CID000097,UNH,6,468.45,2020-11-01,516.0399780273438,3096.2398681640625
CID000098,NVDA,54,270.3,2022-08-18,109.66999816894531,5922.179901123047
CID000098,JPM,19,304.87,2021-05-12,242.85000610351562,4614.150115966797
CID000099,TSLA,37,430.09,2022-12-07,263.54998779296875,9751.349548339844
CID000099,MSFT,30,103.92,2020-05-04,378.79998779296875,11363.999633789062
CID000100,V,67,391.2,2022-03-13,342.8500061035156,22970.950408935547
CID000100,TSLA,7,363.36,2023-05-05,263.54998779296875,1844.8499145507812
CID000100,GOOGL,51,446.68,2023-11-03,154.3300018310547,7870.830093383789
CID000100,JPM,20,429.38,2024-11-07,242.85000610351562,4857.0001220703125
CID000100,NVDA,55,431.76,2022-03-18,109.66999816894531,6031.849899291992
