Customer ID,Current Value,Date
CID000067,61322.889419555664,2025-03-31
CID000068,36911.359375,2025-03-31
CID000069,63602.3493347168,2025-03-31
CID000070,33552.590270996094,2025-03-31
CID000071,34762.050354003906,2025-03-31
CID000072,11512.099884033203,2025-03-31
CID000073,53930.10885620117,2025-03-31
CID000074,83016.41845703125,2025-03-31
CID000075,35192.978942871094,2025-03-31
CID000076,35203.89953613281,2025-03-31
CID000077,21856.500549316406,2025-03-31
CID000078,8333.820098876953,2025-03-31
CID000079,28207.35916137696,2025-03-31
CID000080,51274.79797363281,2025-03-31
CID000081,58678.95861816406,2025-03-31
CID000082,34680.689712524414,2025-03-31
CID000083,21087.679931640625,2025-03-31
CID000084,50771.57931518555,2025-03-31
CID000085,66309.98016357422,2025-03-31
CID000086,71000.04776000977,2025-03-31
CID000087,30357.12873840332,2025-03-31
CID000088,50753.119140625,2025-03-31
CID000089,14568.620025634766,2025-03-31
CID000090,3703.920043945313,2025-03-31
CID000091,1096.6999816894531,2025-03-31
CID000092,3486.39990234375,2025-03-31
CID000093,125440.85664367676,2025-03-31
CID000094,43619.60940551758,2025-03-31
CID000095,37608.33831787109,2025-03-31
CID000096,33147.66957092285,2025-03-31
CID000097,3096.2398681640625,2025-03-31
CID000098,10536.330017089844,2025-03-31
CID000099,21115.349182128903,2025-03-31
CID000100,43575.48043823242,2025-03-31
CID000001,6251.189895629883,2025-03-31
CID000002,33399.47982788086,2025-03-31
CID000003,34298.43963623047,2025-03-31
CID000004,57449.84002685547,2025-03-31
CID000005,72257.94947814941,2025-03-31
CID000006,65738.79092407227,2025-03-31
CID000007,73860.41806030273,2025-03-31
CID000008,52534.020736694336,2025-03-31
CID000009,36411.27862548828,2025-03-31
CID000010,1844.8499145507808,2025-03-31
CID000011,27323.129776000977,2025-03-31
CID000012,50763.178955078125,2025-03-31
CID000013,28965.0701751709,2025-03-31
CID000014,48372.35943603516,2025-03-31
CID000015,46567.79895019531,2025-03-31
CID000016,57764.67791748046,2025-03-31
CID000017,21611.09899902344,2025-03-31
CID000018,69905.96951293945,2025-03-31
CID000019,10571.880065917969,2025-03-31
CID000020,54395.86923217773,2025-03-31
CID000021,10541.99951171875,2025-03-31
CID000022,67139.04899597168,2025-03-31
CID000023,18957.29946899414,2025-03-31
CID000024,19475.37030029297,2025-03-31
CID000025,32327.33976745605,2025-03-31
CID000026,19064.64038085937,2025-03-31
CID000027,55789.72023010254,2025-03-31
CID000028,34605.6891784668,2025-03-31
CID000029,8385.969696044922,2025-03-31
CID000030,93758.1277923584,2025-03-31
CID000031,3276.240020751953,2025-03-31
CID000032,76595.26722717285,2025-03-31
CID000033,89787.87963867188,2025-03-31
CID000034,71746.54971313477,2025-03-31
CID000035,5639.959899902344,2025-03-31
CID000036,23604.819732666016,2025-03-31
CID000037,66058.73776245117,2025-03-31
CID000038,60285.9582824707,2025-03-31
CID000039,57985.4201965332,2025-03-31
CID000040,5229.599853515625,2025-03-31
CID000041,118945.80783081056,2025-03-31
CID000042,25431.900299072266,2025-03-31
CID000043,64904.958251953125,2025-03-31
CID000044,66171.4585571289,2025-03-31
CID000045,24220.109756469727,2025-03-31
CID000046,62250.17819213867,2025-03-31
CID000047,36991.389205932624,2025-03-31
CID000048,32874.179443359375,2025-03-31
CID000049,45912.66021728516,2025-03-31
CID000050,36502.66009521485,2025-03-31
CID000051,41350.40911865234,2025-03-31
CID000052,48306.17967224121,2025-03-31
CID000053,7870.830093383789,2025-03-31
CID000054,66587.52954101562,2025-03-31
CID000055,92220.919921875,2025-03-31
CID000056,378.7999877929688,2025-03-31
CID000057,32223.45904541016,2025-03-31
CID000058,25095.59945678711,2025-03-31
CID000059,82521.40802001953,2025-03-31
CID000060,64386.95861816406,2025-03-31
CID000061,45215.2689819336,2025-03-31
CID000062,93431.2274017334,2025-03-31
CID000063,96762.67710876466,2025-03-31
CID000064,115926.73681640624,2025-03-31
CID000065,2006.290023803711,2025-03-31
CID000066,57383.478759765625,2025-03-31
CID000067,61322.889419555664,2025-03-31
CID000068,36911.359375,2025-03-31
CID000069,63602.3493347168,2025-03-31
CID000070,33552.590270996094,2025-03-31
CID000071,34762.050354003906,2025-03-31
CID000072,11512.099884033203,2025-03-31
CID000073,53930.10885620117,2025-03-31
CID000074,83016.41845703125,2025-03-31
CID000075,35192.978942871094,2025-03-31
CID000076,35203.89953613281,2025-03-31
CID000077,21856.500549316406,2025-03-31
CID000078,8333.820098876953,2025-03-31
CID000079,28207.359161376957,2025-03-31
CID000080,51274.79797363281,2025-03-31
CID000081,58678.95861816406,2025-03-31
CID000082,34680.689712524414,2025-03-31
CID000083,21087.679931640625,2025-03-31
CID000084,50771.57931518555,2025-03-31
CID000085,66309.98016357422,2025-03-31
CID000086,71000.04776000977,2025-03-31
CID000087,30357.12873840332,2025-03-31
CID000088,50753.119140625,2025-03-31
CID000089,14568.620025634766,2025-03-31
CID000090,3703.920043945313,2025-03-31
CID000091,1096.6999816894531,2025-03-31
CID000092,3486.39990234375,2025-03-31
CID000093,125440.85664367676,2025-03-31
CID000094,43619.60940551758,2025-03-31
CID000095,37608.33831787109,2025-03-31
CID000096,33147.66957092285,2025-03-31
CID000097,3096.2398681640625,2025-03-31
CID000098,10536.330017089844,2025-03-31
CID000099,21115.349182128903,2025-03-31
CID000100,43575.48043823242,2025-03-31
CID000001,6123.225173950195,2025-03-31
CID000002,33211.03517150879,2025-03-31
CID000003,33840.16743469238,2025-03-31
CID000004,57778.545806884766,2025-03-31
CID000005,72793.97334289551,2025-03-31
CID000006,66532.65344238281,2025-03-31
CID000007,73954.94990539551,2025-03-31
CID000008,53041.156341552734,2025-03-31
CID000009,36299.00158691406,2025-03-31
CID000010,1810.2698974609373,2025-03-31
CID000011,27237.547134399414,2025-03-31
CID000012,50481.063049316406,2025-03-31
CID000013,29152.61212158203,2025-03-31
CID000014,48041.60655212402,2025-03-31
CID000015,47214.47970581055,2025-03-31
CID000016,58814.805908203125,2025-03-31
CID000017,21206.018798828125,2025-03-31
CID000018,69801.8984375,2025-03-31
CID000019,10535.913009643555,2025-03-31
CID000020,54276.548889160156,2025-03-31
CID000021,10344.3994140625,2025-03-31
CID000022,66658.03750610352,2025-03-31
CID000023,19256.579681396484,2025-03-31
CID000024,19744.829360961914,2025-03-31
CID000025,32214.204391479492,2025-03-31
CID000026,19164.556640625,2025-03-31
CID000027,55839.309158325195,2025-03-31
CID000028,34014.583572387695,2025-03-31
CID000029,8223.859771728516,2025-03-31
CID000030,92939.93240356445,2025-03-31
CID000031,3227.534927368164,2025-03-31
CID000032,77533.3133392334,2025-03-31
CID000033,90104.60150146484,2025-03-31
CID000034,71920.32250976562,2025-03-31
CID000035,5588.642272949219,2025-03-31
CID000036,23829.32211303711,2025-03-31
CID000037,66418.77764892578,2025-03-31
CID000038,59708.90026855469,2025-03-31
CID000039,58645.87339782715,2025-03-31
CID000040,5312.159912109375,2025-03-31
CID000041,120309.3139038086,2025-03-31
CID000042,25424.765167236328,2025-03-31
CID000043,64361.165924072266,2025-03-31
CID000044,66511.57347106934,2025-03-31
CID000045,23994.416137695312,2025-03-31
CID000046,61475.3283996582,2025-03-31
CID000047,36683.085388183594,2025-03-31
CID000048,32777.84930419922,2025-03-31
CID000049,46690.66369628906,2025-03-31
CID000050,36800.281982421875,2025-03-31
CID000051,40819.811294555664,2025-03-31
CID000052,48019.15328979492,2025-03-31
CID000053,7877.031555175781,2025-03-31
CID000054,67198.71383666992,2025-03-31
CID000055,92543.42962646484,2025-03-31
CID000056,373.5223083496094,2025-03-31
CID000057,32207.84861755371,2025-03-31
CID000058,25221.90951538086,2025-03-31
CID000059,81643.58073425293,2025-03-31
CID000060,64400.93048095704,2025-03-31
CID000061,44883.544006347656,2025-03-31
CID000062,94837.99426269531,2025-03-31
CID000063,97639.84313964844,2025-03-31
CID000064,116417.6353302002,2025-03-31
CID000065,2007.8707885742188,2025-03-31
CID000066,57387.8828125,2025-03-31
CID000067,60671.055892944336,2025-03-31
CID000068,36803.19921875,2025-03-31
CID000069,63703.33505249023,2025-03-31
CID000070,33748.26953125,2025-03-31
CID000071,35183.57424926758,2025-03-31
CID000072,11663.859832763672,2025-03-31
CID000073,54359.798095703125,2025-03-31
CID000074,83238.30078125,2025-03-31
CID000075,34772.26420593262,2025-03-31
CID000076,35990.411376953125,2025-03-31
CID000077,22032.89978027344,2025-03-31
CID000078,8340.386352539062,2025-03-31
CID000079,27836.225555419922,2025-03-31
CID000080,51904.21630859375,2025-03-31
CID000081,58716.78692626953,2025-03-31
CID000082,34566.47341918945,2025-03-31
CID000083,20931.619506835938,2025-03-31
CID000084,50533.09391784668,2025-03-31
CID000085,66951.23320007324,2025-03-31
CID000086,71847.22074890137,2025-03-31
CID000087,30934.701675415035,2025-03-31
CID000088,50604.39892578125,2025-03-31
CID000089,14470.522689819338,2025-03-31
CID000090,3706.83837890625,2025-03-31
CID000091,1074.250030517578,2025-03-31
CID000092,3541.43994140625,2025-03-31
CID000093,125720.71426391602,2025-03-31
CID000094,44594.763610839844,2025-03-31
CID000095,37575.49084472656,2025-03-31
CID000096,33449.55276489258,2025-03-31
CID000097,3168.284912109375,2025-03-31
CID000098,10452.340118408203,2025-03-31
CID000099,20774.238708496094,2025-03-31
CID000100,43953.60075378418,2025-03-31
